Country,WHO_reg
Andorra,Europe/Non-EU-EEA
Armenia,Europe/Non-EU-EEA
Austria,Europe/EU-EEA
Azerbaijan,Europe/Non-EU-EEA
Belarus,Europe/Non-EU-EEA
Bulgaria,Europe/EU-EEA
Czechia,Europe/EU-EEA
Estonia,Europe/EU-EEA
France,Europe/EU-EEA
Germany,Europe/EU-EEA
Gibraltar,Europe/Non-EU-EEA
Greece,Europe/EU-EEA
Israel,Europe/Non-EU-EEA
Italy,Europe/EU-EEA
Kosovo,Europe/Non-EU-EEA
Kyrgyzstan,Europe/Non-EU-EEA
Latvia,Europe/EU-EEA
Lithuania,Europe/EU-EEA
Luxembourg,Europe/EU-EEA
Malta,Europe/EU-EEA
Monaco,Europe/Non-EU-EEA
Montenegro,Europe/Non-EU-EEA
Netherlands,Europe/EU-EEA
North_Macedonia,Europe/Non-EU-EEA
Poland,Europe/EU-EEA
Portugal,Europe/EU-EEA
Romania,Europe/EU-EEA
Russia,Europe/Non-EU-EEA
San_Marino,Europe/Non-EU-EEA
Slovakia,Europe/EU-EEA
Spain,Europe/EU-EEA
Switzerland,Europe/Non-EU-EEA
Ukraine,Europe/Non-EU-EEA
United_Kingdom,Europe/Non-EU-EEA
Uzbekistan,Europe/Non-EU-EEA
Algeria,Africa
Angola,Africa
Botswana,Africa
Burkina_Faso,Africa
Cape_Verde,Africa
Chad,Africa
Comoros,Africa
Cote_dIvoire,Africa
Equatorial_Guinea,Africa
Eswatini,Africa
Ethiopia,Africa
Gabon,Africa
Gambia,Africa
Kenya,Africa
Lesotho,Africa
Madagascar,Africa
Malawi,Africa
Mali,Africa
Mauritius,Africa
Namibia,Africa
Niger,Africa
Nigeria,Africa
Senegal,Africa
Seychelles,Africa
Sierra_Leone,Africa
South_Africa,Africa
Uganda,Africa
Zambia,Africa
Zimbabwe,Africa
