"Region","Update","Number of entries","Percentage"
"Africa","1. No update",348,"31.9 %"
"Africa","2. Website update",74,"6.8 %"
"Africa","3. Social media update",357,"32.7 %"
"Africa","4. Social media & 
website update",313,"28.7 %"
"Africa","Overall",1092,"100 %"
"Europe/EU-EEA","1. No update",83,"9.4 %"
"Europe/EU-EEA","2. Website update",327,"37 %"
"Europe/EU-EEA","3. Social media update",15,"1.7 %"
"Europe/EU-EEA","4. Social media & 
website update",459,"51.9 %"
"Europe/EU-EEA","Overall",884,"100 %"
"Europe/Non-EU-EEA","1. No update",126,"14.3 %"
"Europe/Non-EU-EEA","2. Website update",35,"4 %"
"Europe/Non-EU-EEA","3. Social media update",75,"8.5 %"
"Europe/Non-EU-EEA","4. Social media & 
website update",648,"73.3 %"
"Europe/Non-EU-EEA","Overall",884,"100 %"
