"Region","Earliest source","Number of entries","Percentage"
"Africa","No difference",0,"0 %"
"Africa","Social media",153,"48.9 %"
"Africa","Website",160,"51.1 %"
"Africa","Overall",313,"100 %"
"Europe/EU-EEA","No difference",3,"0.7 %"
"Europe/EU-EEA","Social media",256,"56.8 %"
"Europe/EU-EEA","Website",192,"42.6 %"
"Europe/EU-EEA","Overall",451,"100 %"
"Europe/Non-EU-EEA","No difference",2,"0.3 %"
"Europe/Non-EU-EEA","Social media",383,"59.1 %"
"Europe/Non-EU-EEA","Website",263,"40.6 %"
"Europe/Non-EU-EEA","Overall",648,"100 %"
